descriptionofmapunits_id,mapunit,label,name,fullname,age,description,hierarchykey,paragraphstyle,areafillrgb,areafillpatterndescription,descriptionsourceid,generallithologyterm,generallithologyconfidence
HPV.DescriptionOfMapUnits.1,P*et,P*et,Tectonite derived from Earp Formation (Permian to Pennsylvanian protolith),,,"Foliated calc-silicate marble, calc-pelitic schist, and variably calcareous, quartzose meta-sandstone.  Interlayered calcite and dolomite marble tectonite are less common.  The unit includes a distinctive, stretched-pebble conglomerate with whitish and dark bluish recrystallized chert clasts in a sandy, calcareous matrix (Lingrey, 1982).  The conglomerate is probably correlative with the ""Jelly Bean conglomerate"" member of the Earp Formation (Armin, 1987).   ",0008.0001,Standard,"089;232;255",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.2,Qyaf,Qyaf,"Late Holocene alluvium, active fan deposits",,,"Qyaf deposits consist of active alluvial fan deposits. These deposits have distributary drainage patterns and are extremely prone to flooding and channel migration. Sediments are unconsolidated and consist of very poorly sorted sand to cobbles. Vegetation includes small mesquite trees, shrubby acacia, prickly pear, and medium creosote.",0002.0003,Standard,"236;236;192",,3319B54A-6EDD-4AB4-BB04-7C287E5C29C7,,
HPV.DescriptionOfMapUnits.3,Ygg,Ygg,Biotite granodiorite and melatonalite (Mesoproterozoic),,Mesoproterozoic,"Fine- to medium-grained, recrystallized granodiorite, containing 10-25% fine-grained biotite in 5-10-mm aggregates that define a prominent foliation.  Pillow-like inclusions of fine-grained hornblende-augite-biotite melatonalite contain ~30% biotite and grade to finer-grained quartz diorite, diorite, or gabbro lacking biotite.  The biotite-free phase appears to have been chilled against the granodiorite, whereas the biotite-rich phase displays sharp to gradational (commingled) contacts with granodiorite, indicating that the granodiorite was not completely crystallized when the more mafic melt was emplaced.  The biotite-rich melatonalite phase may be a hybrid formed by mixing of the biotite-free phase and the granodiorite.

The granodiorite locally contains K-feldspar megacrysts up to 35 mm long, and may correlate with unit Ygp.  In thin section, it can be seen that aggregates of fine-grained quartz and feldspar have replaced crystals with medium-grained outlines.  Relics of medium-grained K-feldspar (orthoclase) display Carlsbad twinning.

A thin section of the biotite-rich melatonalite contains approximately 30% biotite, 15-20% clinopyroxene (augite), 1-2% amphibole (hornblende?), 25-30% plagioclase, 20-25% quartz, and trace apatite.  Quartz is polycrystalline and formed in part as replacement of plagioclase.  Some of the biotite has replaced embayed pyroxene and amphibole.

This unit apparently forms enclaves or screens in muscovite leucogranite of map unit Ygl, but intrusive relationships have been obscured by foliation of both units.",0006.0010.0003,Standard,"158;38;55",,HPV.DataSources.10,,
HPV.DescriptionOfMapUnits.4,Ks,Ks,Calcareous siltstone and sandstone of the Bisbee Group (Cretaceous),,,"Calcareous siltstone and sandstone and rare conglomerate.  Typically consists of tan, medium brown, reddish brown, or reddish tan, plane-bedded, calcareous siltstone and fine to very fine-grained, calcareous sandstone.  Sands are quartz rich but contain feldspar and lithic grains that are visible in hand lens (quartz-rich QFL sands).   Magnetite is visible in some sands.  Grains vary from sub-rounded to sub-angular.  Primary porosity appears to be present locally.  Unit is laminated to thin bedded to medium bedded (<20 cm).  Unit includes rare pale gray silty limestone and sparse conglomerate beds containing sub-rounded, 1-10 cm clasts of carbonate and siliciclastics. ",0004.0002,Standard,"027;158;070",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.5,|ct,|ct,Tectonite derived from calcareous strata (Paleozoic protolith),,,"Calcite marble tectonite derived probably from Escabrosa Limestone and Horquilla Limestone is the dominant unit.  Less common are (1) quartzite, (2) micaceous schist, (3)  carbonate tectonite that contains layers in which fine to medium quartz sand grains have retained their equant shape within highly strained calcite marble, (4) green calc-silicate with siliceous and calcareous layers alternating on a scale of 3 to 30 mm.  The carbonate tectonite contains inclusions of heterogeneous pegmatitic myscovite leucogranite that could be tectonically incorporated or intruded.",0008.0005,Standard,"000;102;125",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.6,YXgb,YXgb,Equigranular biotite granite and/or granodiorite (Mesoproterozoic to Paleoproterozoic),,Mesoproterozoic to Paleoproterozoic,"Equigranular, fine grained biotite granite to granodiorite, with <1mm, somewhat fresh biotite, commonly intruded by leucogranite dikes.  Mafic minerals are difficult to distinguish with hand lens, but biotite, hornblende(?), and magnetite form 20-70% of rock. Oxidative hydrothermal alteration has affected adjacent granitoids near Redrock Creek.",0006.0011.0004,Standard,"178;23;102",,HPV.DataSources.11,,
HPV.DescriptionOfMapUnits.7,d,d,Disturbed ground,,,"Heavily disturbed ground due to human activity, including agricultural activities, excavation, and construction of earth dams.",0001.0001,Standard,"233;233;233",,3319B54A-6EDD-4AB4-BB04-7C287E5C29C7,,
HPV.DescriptionOfMapUnits.8,P*eht,P*eht,"Tectonite derived from Earp Formation and Horquilla Limestone, undivided (Permian to Pennsylvanian protolith)",,,"Interlayered marble, calc-silicate marble, calc-pelite, and quartzose metasandstone.  Interpreted by Lingrey (1982) to repreresent tectonically interlayered rock units derived from Earp Formation and Horquilla Limestone.

Near Paige Creek east of Driscoll Mountain, this unit is a heterogeneous assemblage of siliceous and calcareous rocks, including marble with thin siliceous layers, siliceous hornfels with thin recessive marble layers, thin layers of epidote calc-silicate, fine-grained quartzite and quartzofeldspathic psammite, semipelitic feldspar-muscovite-quartz schist, and minor pelitic quartz-muscovite schist.",0008.0002,Standard,"125;091;000",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
HPV.DescriptionOfMapUnits.9,Xgr,Xgr,Granodiorite of Rincon Valley (Paleoproterozoic),,Paleoproterozoic,"In Happy Valley this unit is a coarse-grained granitoid with conspicuous gray quartz up to 10 mm, white plagioclase up to 8 mm, pink K-feldspar up to 15 mm, and <5% oxidized biotite.  Quartz superficially appears to represent <20% of rock unit. Alteration is everywhere sufficient that all rocks readily disintigrate when hit with a rock hammer.  A sample of this unitwas dated at 1658 +/- 22 Ma (one-sigma; U-Pb isotopic analysis by M. Pecha and G. Gehrels, University of Arizona; sample 3-23-10-1 collected by J. Spencer). In Redrock Canyon this unit is a medium to coarse grained, megacrystic biotite granite with pale pink K-feldspar up to 3 cm diameter, and 4-7% biotite in <5mm clots. In both areas this unit was mapped by Drewes (1974) as the Granodiorite of Rincon Valley.   ",0006.0009,Standard,"127;97;93",,HPV.DataSources.10,,
HPV.DescriptionOfMapUnits.10,Dm_at,Dm_at,"Tectonite derived from Martin Formation and Abrigo Formation, undivided (Devonian and Cambrian protoliths)",,,"Strongly foliated, silicate-banded marble and less common quartzite, nearly pure calcitic to dolomitic marble, pale to dark green calc-silicate marble, and calc-pelitic schist.  Silicate-banded marble is brown to tan and contains numerous thin (<1cm), resistant, green to pink siliceous layers rich in fine- to very fine-grained quartz sand grains.",0008.0004,Standard,"172;175;254",,45F6DD85-4B3B-4733-9E1D-4483D5EEB31D,,
